seed,n,m,k,negative_fraction,queries,repeat,order,method,ns_per_query,returned_positive,expected_exact_positive,backend_lookups
1,20000,200000,7,0.9,20000,1,1,bloom,35.15,2151,2000,0
1,20000,200000,7,0.9,20000,1,2,filtered_set,39.96045,2000,2000,2151
1,20000,200000,7,0.9,20000,2,0,bloom,34.9521,2151,2000,0
1,20000,200000,7,0.9,20000,2,1,set,28.5167,2000,2000,20000
1,20000,200000,7,0.9,20000,2,2,filtered_set,39.87085,2000,2000,2151
1,20000,200000,7,1,20000,0,0,filtered_set,38.2271,0,0,169
1,20000,200000,7,1,20000,0,1,set,27.6229,0,0,20000
1,20000,200000,7,1,20000,0,2,bloom,37.6521,169,0,0
1,20000,200000,7,1,20000,1,0,set,29.125,0,0,20000
1,20000,200000,7,1,20000,1,1,filtered_set,40.53125,0,0,169
1,20000,200000,7,1,20000,1,2,bloom,38.3229,169,0,0
1,20000,200000,7,1,20000,2,0,filtered_set,40.47705,0,0,169
1,20000,200000,7,1,20000,2,1,bloom,37.61875,169,0,0
1,20000,200000,7,1,20000,2,2,set,28.8229,0,0,20000
1,20000,200000,11,0,20000,0,0,bloom,37.9604,20000,20000,0
1,20000,200000,11,0,20000,0,1,set,18.67915,20000,20000,20000
1,20000,200000,11,0,20000,0,2,filtered_set,62.7104,20000,20000,20000
1,20000,200000,11,0,20000,1,0,bloom,38.5875,20000,20000,0
1,20000,200000,11,0,20000,1,1,set,19.0979,20000,20000,20000
1,20000,200000,11,0,20000,1,2,filtered_set,62.3125,20000,20000,20000
1,20000,200000,11,0,20000,2,0,set,18.075,20000,20000,20000
1,20000,200000,11,0,20000,2,1,bloom,36.98335,20000,20000,0
1,20000,200000,11,0,20000,2,2,filtered_set,60.65415,20000,20000,20000
1,20000,200000,11,0.5,20000,0,0,set,33.20625,10000,10000,20000
1,20000,200000,11,0.5,20000,0,1,filtered_set,53.30625,10000,10000,10134
1,20000,200000,11,0.5,20000,0,2,bloom,39.21665,10134,10000,0
1,20000,200000,11,0.5,20000,1,0,set,32.74795,10000,10000,20000
1,20000,200000,11,0.5,20000,1,1,filtered_set,51.49375,10000,10000,10134
1,20000,200000,11,0.5,20000,1,2,bloom,38.09375,10134,10000,0
1,20000,200000,11,0.5,20000,2,0,bloom,37.9,10134,10000,0
1,20000,200000,11,0.5,20000,2,1,filtered_set,51.12915,10000,10000,10134
1,20000,200000,11,0.5,20000,2,2,set,32.67085,10000,10000,20000
1,20000,200000,11,0.9,20000,0,0,bloom,39.925,2232,2000,0
1,20000,200000,11,0.9,20000,0,1,filtered_set,45.5875,2000,2000,2232
1,20000,200000,11,0.9,20000,0,2,set,28.54585,2000,2000,20000
1,20000,200000,11,0.9,20000,1,0,set,31.72085,2000,2000,20000
1,20000,200000,11,0.9,20000,1,1,bloom,39.8729,2232,2000,0
1,20000,200000,11,0.9,20000,1,2,filtered_set,44.6479,2000,2000,2232
1,20000,200000,11,0.9,20000,2,0,bloom,39.7646,2232,2000,0
1,20000,200000,11,0.9,20000,2,1,set,28.63545,2000,2000,20000
1,20000,200000,11,0.9,20000,2,2,filtered_set,43.80625,2000,2000,2232
1,20000,200000,11,1,20000,0,0,filtered_set,43.36665,0,0,254
1,20000,200000,11,1,20000,0,1,set,27.66665,0,0,20000
1,20000,200000,11,1,20000,0,2,bloom,40.80625,254,0,0
1,20000,200000,11,1,20000,1,0,set,27.4479,0,0,20000
1,20000,200000,11,1,20000,1,1,filtered_set,41.96045,0,0,254
1,20000,200000,11,1,20000,1,2,bloom,39.5958,254,0,0
1,20000,200000,11,1,20000,2,0,filtered_set,42.28335,0,0,254
1,20000,200000,11,1,20000,2,1,bloom,39.6854,254,0,0
1,20000,200000,11,1,20000,2,2,set,26.4104,0,0,20000
2,2000,20000,1,0,20000,0,0,bloom,3.625,20000,20000,0
2,2000,20000,1,0,20000,0,1,set,16.51045,20000,20000,20000
2,2000,20000,1,0,20000,0,2,filtered_set,18.0708,20000,20000,20000
2,2000,20000,1,0,20000,1,0,set,14.90415,20000,20000,20000
2,2000,20000,1,0,20000,1,1,bloom,3.6125,20000,20000,0
2,2000,20000,1,0,20000,1,2,filtered_set,17.9875,20000,20000,20000
2,2000,20000,1,0,20000,2,0,bloom,3.62915,20000,20000,0
2,2000,20000,1,0,20000,2,1,filtered_set,18.6771,20000,20000,20000
2,2000,20000,1,0,20000,2,2,set,14.69375,20000,20000,20000
2,2000,20000,1,0.5,20000,0,0,filtered_set,28.2979,10000,10000,10901
2,2000,20000,1,0.5,20000,0,1,bloom,17.1625,10901,10000,0
2,2000,20000,1,0.5,20000,0,2,set,28.1646,10000,10000,20000
2,2000,20000,1,0.5,20000,1,0,filtered_set,26.32915,10000,10000,10901
2,2000,20000,1,0.5,20000,1,1,bloom,16.2146,10901,10000,0
2,2000,20000,1,0.5,20000,1,2,set,27.43545,10000,10000,20000
2,2000,20000,1,0.5,20000,2,0,filtered_set,25.9021,10000,10000,10901
2,2000,20000,1,0.5,20000,2,1,set,26.51875,10000,10000,20000
2,2000,20000,1,0.5,20000,2,2,bloom,15.84795,10901,10000,0
2,2000,20000,1,0.9,20000,0,0,filtered_set,15.48335,2000,2000,3609
2,2000,20000,1,0.9,20000,0,1,bloom,9.73125,3609,2000,0
2,2000,20000,1,0.9,20000,0,2,set,24.47915,2000,2000,20000
2,2000,20000,1,0.9,20000,1,0,filtered_set,13.96875,2000,2000,3609
2,2000,20000,1,0.9,20000,1,1,set,24.3458,2000,2000,20000
2,2000,20000,1,0.9,20000,1,2,bloom,9.2625,3609,2000,0
2,2000,20000,1,0.9,20000,2,0,filtered_set,13.8521,2000,2000,3609
2,2000,20000,1,0.9,20000,2,1,bloom,9.0229,3609,2000,0
2,2000,20000,1,0.9,20000,2,2,set,24.29375,2000,2000,20000
2,2000,20000,1,1,20000,0,0,set,23.34795,0,0,20000
2,2000,20000,1,1,20000,0,1,filtered_set,9.37085,0,0,1802
2,2000,20000,1,1,20000,0,2,bloom,6.3875,1802,0,0
2,2000,20000,1,1,20000,1,0,set,24.75415,0,0,20000
2,2000,20000,1,1,20000,1,1,bloom,6.2208,1802,0,0
2,2000,20000,1,1,20000,1,2,filtered_set,8.91665,0,0,1802
2,2000,20000,1,1,20000,2,0,set,23.49165,0,0,20000
2,2000,20000,1,1,20000,2,1,filtered_set,8.50835,0,0,1802
2,2000,20000,1,1,20000,2,2,bloom,6.14585,1802,0,0
2,2000,20000,3,0,20000,0,0,bloom,10.35625,20000,20000,0
2,2000,20000,3,0,20000,0,1,set,14.81665,20000,20000,20000
2,2000,20000,3,0,20000,0,2,filtered_set,24.1271,20000,20000,20000
2,2000,20000,3,0,20000,1,0,set,14.6125,20000,20000,20000
2,2000,20000,3,0,20000,1,1,bloom,10.25415,20000,20000,0
2,2000,20000,3,0,20000,1,2,filtered_set,24.2708,20000,20000,20000
2,2000,20000,3,0,20000,2,0,bloom,10.37915,20000,20000,0
2,2000,20000,3,0,20000,2,1,filtered_set,24.64165,20000,20000,20000
2,2000,20000,3,0,20000,2,2,set,14.53545,20000,20000,20000
2,2000,20000,3,0.5,20000,0,0,filtered_set,31.33125,10000,10000,10182
2,2000,20000,3,0.5,20000,0,1,bloom,22.89165,10182,10000,0
2,2000,20000,3,0.5,20000,0,2,set,27.7229,10000,10000,20000
2,2000,20000,3,0.5,20000,1,0,filtered_set,31.4208,10000,10000,10182
2,2000,20000,3,0.5,20000,1,1,bloom,23.0667,10182,10000,0
2,2000,20000,3,0.5,20000,1,2,set,26.93125,10000,10000,20000
2,2000,20000,3,0.5,20000,2,0,filtered_set,30.69165,10000,10000,10182
2,2000,20000,3,0.5,20000,2,1,set,26.5604,10000,10000,20000
2,2000,20000,3,0.5,20000,2,2,bloom,22.9604,10182,10000,0
2,2000,20000,3,0.9,20000,0,0,filtered_set,31.48955,2000,2000,2338
2,2000,20000,3,0.9,20000,0,1,bloom,25.9979,2338,2000,0
2,2000,20000,3,0.9,20000,0,2,set,25.54795,2000,2000,20000
2,2000,20000,3,0.9,20000,1,0,filtered_set,26.59375,2000,2000,2338
2,2000,20000,3,0.9,20000,1,1,set,24.58125,2000,2000,20000
2,2000,20000,3,0.9,20000,1,2,bloom,23.6375,2338,2000,0
2,2000,20000,3,0.9,20000,2,0,filtered_set,27.15835,2000,2000,2338
2,2000,20000,3,0.9,20000,2,1,bloom,22.11045,2338,2000,0
