seed,n,m,k,negative_fraction,queries,repeat,order,method,ns_per_query,returned_positive,expected_exact_positive,backend_lookups
1,20000,200000,7,0,200000,3,2,bloom,23.483335,200000,200000,0
1,20000,200000,7,0,200000,4,0,filtered_set,47.743335,200000,200000,200000
1,20000,200000,7,0,200000,4,1,bloom,23.428125,200000,200000,0
1,20000,200000,7,0,200000,4,2,set,18.838125,200000,200000,200000
1,20000,200000,7,0,200000,5,0,bloom,23.79479,200000,200000,0
1,20000,200000,7,0,200000,5,1,set,18.5875,200000,200000,200000
1,20000,200000,7,0,200000,5,2,filtered_set,47.65771,200000,200000,200000
1,20000,200000,7,0,200000,6,0,filtered_set,47.628545,200000,200000,200000
1,20000,200000,7,0,200000,6,1,bloom,23.49521,200000,200000,0
1,20000,200000,7,0,200000,6,2,set,19.029165,200000,200000,200000
1,20000,200000,7,0.5,200000,0,0,bloom,33.130205,100816,100000,0
1,20000,200000,7,0.5,200000,0,1,filtered_set,45.38,100000,100000,100816
1,20000,200000,7,0.5,200000,0,2,set,33.387705,100000,100000,200000
1,20000,200000,7,0.5,200000,1,0,bloom,30.996045,100816,100000,0
1,20000,200000,7,0.5,200000,1,1,filtered_set,51.709375,100000,100000,100816
1,20000,200000,7,0.5,200000,1,2,set,34.11896,100000,100000,200000
1,20000,200000,7,0.5,200000,2,0,bloom,32.04271,100816,100000,0
1,20000,200000,7,0.5,200000,2,1,filtered_set,44.14,100000,100000,100816
1,20000,200000,7,0.5,200000,2,2,set,33.631875,100000,100000,200000
1,20000,200000,7,0.5,200000,3,0,filtered_set,44.31167,100000,100000,100816
1,20000,200000,7,0.5,200000,3,1,set,33.05,100000,100000,200000
1,20000,200000,7,0.5,200000,3,2,bloom,31.10979,100816,100000,0
1,20000,200000,7,0.5,200000,4,0,set,33.184165,100000,100000,200000
1,20000,200000,7,0.5,200000,4,1,bloom,31.23125,100816,100000,0
1,20000,200000,7,0.5,200000,4,2,filtered_set,44.2925,100000,100000,100816
1,20000,200000,7,0.5,200000,5,0,bloom,30.76271,100816,100000,0
1,20000,200000,7,0.5,200000,5,1,filtered_set,43.966665,100000,100000,100816
1,20000,200000,7,0.5,200000,5,2,set,32.80021,100000,100000,200000
1,20000,200000,7,0.5,200000,6,0,filtered_set,44.999795,100000,100000,100816
1,20000,200000,7,0.5,200000,6,1,bloom,30.753335,100816,100000,0
1,20000,200000,7,0.5,200000,6,2,set,33.18333,100000,100000,200000
1,20000,200000,7,0.9,200000,0,0,filtered_set,49.331665,20000,20000,21497
1,20000,200000,7,0.9,200000,0,1,set,38.42604,20000,20000,200000
1,20000,200000,7,0.9,200000,0,2,bloom,45.913545,21497,20000,0
1,20000,200000,7,0.9,200000,1,0,set,29.93875,20000,20000,200000
1,20000,200000,7,0.9,200000,1,1,filtered_set,43.75021,20000,20000,21497
1,20000,200000,7,0.9,200000,1,2,bloom,38.39229,21497,20000,0
1,20000,200000,7,0.9,200000,2,0,bloom,43.01021,21497,20000,0
1,20000,200000,7,0.9,200000,2,1,set,30.64229,20000,20000,200000
1,20000,200000,7,0.9,200000,2,2,filtered_set,43.385415,20000,20000,21497
1,20000,200000,7,0.9,200000,3,0,filtered_set,46.377085,20000,20000,21497
1,20000,200000,7,0.9,200000,3,1,set,28.94958,20000,20000,200000
1,20000,200000,7,0.9,200000,3,2,bloom,38.702085,21497,20000,0
1,20000,200000,7,0.9,200000,4,0,bloom,37.96646,21497,20000,0
1,20000,200000,7,0.9,200000,4,1,filtered_set,43.93396,20000,20000,21497
1,20000,200000,7,0.9,200000,4,2,set,33.23125,20000,20000,200000
1,20000,200000,7,0.9,200000,5,0,set,35.791665,20000,20000,200000
1,20000,200000,7,0.9,200000,5,1,bloom,39.81125,21497,20000,0
